selection_scope,outer_fold,comparison_name,model_type,p,tuning_mode,tuning_metric,trial_number,n_trials_planned,tuning_score,best_tuning_score_so_far,model_params
outer_fold_0,0,method_scores,ridge,6,nested,spearman,0,2,0.8774,0.8774,{'alpha': 0.0419}
outer_fold_0,0,method_scores,ridge,6,nested,spearman,1,2,0.8441,0.8774,{'alpha': 452.0}
outer_fold_0,0,method_scores,xgboost,6,nested,spearman,0,2,0.8415,0.8415,"{'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799}"
outer_fold_0,0,method_scores,xgboost,6,nested,spearman,1,2,0.8141,0.8415,"{'learning_rate': 0.00139, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.933}"
outer_fold_0,0,method_scores_plus_glide_uncertainty,ridge,7,nested,spearman,0,2,0.8692,0.8692,{'alpha': 0.0419}
outer_fold_0,0,method_scores_plus_glide_uncertainty,ridge,7,nested,spearman,1,2,0.8389,0.8692,{'alpha': 452.0}
outer_fold_0,0,method_scores_plus_glide_uncertainty,xgboost,7,nested,spearman,0,2,0.8492,0.8492,"{'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799}"
outer_fold_0,0,method_scores_plus_glide_uncertainty,xgboost,7,nested,spearman,1,2,0.8151,0.8492,"{'learning_rate': 0.00139, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.933}"
outer_fold_0,0,method_ranks,ridge,6,nested,spearman,0,2,0.9015,0.9015,{'alpha': 0.0419}
outer_fold_0,0,method_ranks,ridge,6,nested,spearman,1,2,0.867,0.9015,{'alpha': 452.0}
outer_fold_0,0,method_ranks,xgboost,6,nested,spearman,0,2,0.8415,0.8415,"{'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799}"
outer_fold_0,0,method_ranks,xgboost,6,nested,spearman,1,2,0.8141,0.8415,"{'learning_rate': 0.00139, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.933}"
outer_fold_0,0,method_scores_plus_method_ranks,ridge,12,nested,spearman,0,2,0.8937,0.8937,{'alpha': 0.0419}
outer_fold_0,0,method_scores_plus_method_ranks,ridge,12,nested,spearman,1,2,0.8751,0.8937,{'alpha': 452.0}
outer_fold_0,0,method_scores_plus_method_ranks,xgboost,12,nested,spearman,0,2,0.8433,0.8433,"{'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799}"
outer_fold_0,0,method_scores_plus_method_ranks,xgboost,12,nested,spearman,1,2,0.8076,0.8433,"{'learning_rate': 0.00139, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.933}"
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary,ridge,21,nested,spearman,0,2,0.8849,0.8849,{'alpha': 0.0419}
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary,ridge,21,nested,spearman,1,2,0.8915,0.8915,{'alpha': 452.0}
